"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1979"	"1979"	203	274815	73.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1980"	"1980"	181	280084	64.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	172	278801	61.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1982"	"1982"	169	279690	60.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1983"	"1983"	166	277509	59.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1984"	"1984"	153	279807	54.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1985"	"1985"	150	286724	52.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1986"	"1986"	180	291442	61.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	182	301307	60.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1988"	"1988"	195	314067	62.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	237	331408	71.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	218	337254	64.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	197	336147	58.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	195	330907	58.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	180	324891	55.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	190	313837	60.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	188	297024	63.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	168	293307	57.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	157	295383	53.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	168	299795	56.0
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1979"	"1979"	17	45961	37.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1980"	"1980"	15	52564	28.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1981"	"1981"	23	56903	40.4
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1982"	"1982"	20	61931	32.3
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1983"	"1983"	16	63221	25.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1984"	"1984"	14	65490	21.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1985"	"1985"	18	68283	26.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1986"	"1986"	19	69831	27.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1987"	"1987"	13	74686	17.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1988"	"1988"	11	81997	13.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1989"	"1989"	28	85299	32.8
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1990"	"1990"	17	89278	19.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1991"	"1991"	28	91046	30.8
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1992"	"1992"	17	92143	18.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1993"	"1993"	25	92987	26.9
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1994"	"1994"	20	94940	21.1
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1995"	"1995"	19	95752	19.8 (Unreliable)
