"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	3	274815	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	2	274815	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	11	274815	4.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	2	274815	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	1	274815	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	3	274815	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	5	274815	1.8 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Black or African American"	"2054-5"			27	274815	9.8
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	1	45961	2.2 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"Other Race"	"2131-1"			1	45961	2.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	4	1382355	0.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	1	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	3	1382355	0.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	1	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"By parent"	"E967.0"	1	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"By other specified person"	"E967.1"	1	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"By unspecified person"	"E967.9"	11	1382355	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Fire"	"E968.0"	2	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	1	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	5	1382355	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Other specified means"	"E968.8"	2	1382355	0.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"	"Unspecified means"	"E968.9"	6	1382355	0.4 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"	"White"	"2106-3"			38	1382355	2.7
"Total"	"< 1 year"	"1"	"Female"	"F"	"1979"	"1979"					66	1703131	3.9
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	4	280084	1.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	2	280084	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	2	280084	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	3	280084	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"By other specified person"	"E967.1"	1	280084	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	5	280084	1.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	5	280084	1.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	280084	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	280084	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	2	280084	0.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	3	280084	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	5	280084	1.8 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"1980"	"1980"	"Black or African American"	"2054-5"			34	280084	12.1
