"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by firearms"	"E970"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by explosives"	"E971"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by gas"	"E972"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by blunt object"	"E973"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by cutting and piercing instruments"	"E974"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by other specified means"	"E975"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Injury due to legal intervention by unspecified means"	"E976"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Late effect of injury due to legal intervention"	"E977"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Legal execution"	"E978"	0	0	0.0 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"			0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by firearms"	"E970"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by explosives"	"E971"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by gas"	"E972"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by blunt object"	"E973"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by cutting and piercing instruments"	"E974"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by other specified means"	"E975"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Injury due to legal intervention by unspecified means"	"E976"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Late effect of injury due to legal intervention"	"E977"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Legal execution"	"E978"	0	0	0.0 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"			0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by firearms"	"E970"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by explosives"	"E971"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by gas"	"E972"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by blunt object"	"E973"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by cutting and piercing instruments"	"E974"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by other specified means"	"E975"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Injury due to legal intervention by unspecified means"	"E976"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Late effect of injury due to legal intervention"	"E977"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Legal execution"	"E978"	0	0	0.0 (Unreliable)
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"			0	0	0.0 (Unreliable)
