"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	382	258270	147.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	371	264186	140.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	338	276702	122.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	329	272898	120.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	254	256575	99.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	272	246775	110.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	222	243435	91.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	230	244882	93.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	197	245968	80.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	179	259836	68.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1978"	"1978"	216	262807	82.2
"Total"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"			2990	2832334	105.6
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1968"	"1968"	16	25334	63.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1969"	"1969"	20	27064	73.9
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1970"	"1970"	28	29030	96.5
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1971"	"1971"	20	30574	65.4
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1972"	"1972"	20	30998	64.5
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1973"	"1973"	26	31705	82.0
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1974"	"1974"	23	32639	70.5
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1975"	"1975"	17	34383	49.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1976"	"1976"	19	36464	52.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	"1977"	"1977"	11	38977	28.2 (Unreliable)
