Hungary, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1950      64.25   59.85   62.07
1951      64.74   60.13   62.45
1952      66.24   61.74   64.01
1953      65.87   61.77   63.84
1954      67.28   63.48   65.41
1955      68.74   64.89   66.85
1956      68.44   63.57   66.03
1957      68.58   64.14   66.39
1958      69.45   65.29   67.40
1959      69.51   65.04   67.31
1960      70.17   65.92   68.08
1961      71.19   66.76   69.01
1962      70.14   65.68   67.94
1963      71.21   66.62   68.96
1964      71.85   67.00   69.46
1965      71.53   66.70   69.15
1966      72.23   67.50   69.90
1967      72.04   66.87   69.48
1968      71.94   66.63   69.31
1969      72.05   66.67   69.38
1970      72.09   66.31   69.21
1971      72.08   66.12   69.10
1972      72.61   66.83   69.74
1973      72.55   66.63   69.60
1974      72.27   66.35   69.32
1975      72.45   66.28   69.37
1976      72.61   66.69   69.66
1977      73.10   66.76   69.93
1978      72.83   66.15   69.47
1979      73.18   66.23   69.68
1980      72.76   65.52   69.09
1981      72.92   65.48   69.15
1982      73.20   65.63   69.36
1983      72.97   65.05   68.93
1984      73.13   64.98   68.97
1985      73.01   64.96   68.91
1986      73.15   65.19   69.10
1987      73.70   65.56   69.57
1988      73.98   65.99   69.94
1989      73.72   65.23   69.39
1990      73.78   65.15   69.38
1991      73.96   65.10   69.43
1992      73.94   64.66   69.17
1993      73.99   64.66   69.19
1994      74.46   65.00   69.60
1995      74.74   65.43   69.98
1996      75.00   66.29   70.60
1997      75.47   66.65   71.02
1998      75.55   66.45   70.94
1999      75.54   66.70   71.07
2000      76.08   67.53   71.80
2001      76.61   68.23   72.44
2002      76.75   68.34   72.57
2003      76.73   68.38   72.58
2004      77.19   68.73   72.99
2005      77.15   68.68   72.94
2006      77.65   69.16   73.44
2007      77.63   69.35   73.53
2008      78.08   69.92   74.06
2009      78.23   70.21   74.29
