Lithuania, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1959      70.55   64.28   67.64
1960      73.02   66.98   70.28
1961      73.61   66.83   70.46
1962      72.45   65.92   69.42
1963      73.86   66.80   70.57
1964      75.05   68.30   71.94
1965      74.75   68.16   71.69
1966      75.12   68.16   71.87
1967      75.47   67.98   71.96
1968      75.16   67.68   71.63
1969      75.01   67.08   71.23
1970      75.03   66.81   71.10
1971      76.13   67.56   72.04
1972      75.45   66.83   71.31
1973      75.65   67.23   71.62
1974      75.71   67.02   71.54
1975      75.56   66.37   71.11
1976      75.88   66.30   71.22
1977      75.65   66.20   71.06
1978      75.43   66.00   70.85
1979      75.62   65.58   70.72
1980      75.63   65.58   70.70
1981      75.65   65.50   70.68
1982      75.99   65.92   71.07
1983      75.89   65.89   71.01
1984      75.56   65.33   70.53
1985      75.47   65.75   70.74
1986      76.43   67.92   72.38
1987      76.33   67.73   72.22
1988      76.26   67.45   72.02
1989      76.22   66.84   71.67
1990      76.15   66.39   71.37
1991      75.81   65.13   70.51
1992      75.88   64.79   70.35
1993      74.93   63.11   68.93
1994      74.77   62.52   68.52
1995      74.97   63.24   69.03
1996      75.80   64.61   70.20
1997      76.56   65.45   71.04
1998      76.58   65.97   71.34
1999      76.95   66.33   71.72
2000      77.38   66.74   72.15
2001      77.49   65.91   71.72
2002      77.48   66.18   71.85
2003      77.74   66.41   72.10
2004      77.73   66.27   72.00
2005      77.47   65.21   71.25
2006      77.06   65.05   70.96
2007      77.18   64.50   70.69
2008      77.51   65.92   71.69
2009      78.53   67.11   72.84
2010      78.74   67.54   73.18
2011      79.06   68.02   73.60
