Poland, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1958      68.63   63.03   65.93
1959      68.34   62.62   65.57
1960      70.63   64.81   67.83
1961      70.81   64.86   67.94
1962      70.54   64.55   67.64
1963      71.52   65.41   68.56
1964      71.61   65.75   68.78
1965      72.36   66.40   69.49
1966      72.86   66.72   69.89
1967      72.67   66.34   69.59
1968      73.39   66.89   70.23
1969      72.97   66.31   69.71
1970      73.12   66.42   69.84
1971      73.17   66.02   69.64
1972      74.20   67.29   70.82
1973      74.33   67.17   70.81
1974      74.70   67.80   71.32
1975      74.34   67.04   70.73
1976      74.56   66.86   70.73
1977      74.61   66.60   70.61
1978      74.65   66.44   70.54
1979      74.98   66.80   70.89
1980      74.50   66.06   70.25
1981      75.29   67.14   71.22
1982      75.26   67.30   71.29
1983      75.17   67.08   71.12
1984      74.94   66.84   70.88
1985      74.76   66.51   70.60
1986      75.08   66.76   70.89
1987      75.15   66.81   70.95
1988      75.55   67.08   71.28
1989      75.43   66.72   71.01
1990      75.28   66.26   70.68
1991      75.10   65.88   70.37
1992      75.53   66.47   70.92
1993      75.82   67.14   71.43
1994      76.08   67.46   71.72
1995      76.42   67.60   71.96
1996      76.60   68.05   72.29
1997      76.99   68.36   72.64
1998      77.34   68.73   73.01
1999      77.46   68.68   73.03
2000      77.95   69.57   73.76
2001      78.33   70.00   74.18
2002      78.73   70.30   74.53
2003      78.85   70.48   74.68
2004      79.19   70.62   74.91
2005      79.30   70.75   75.03
2006      79.55   70.90   75.22
2007      79.63   70.92   75.27
2008      79.82   71.21   75.52
2009      79.92   71.48   75.71
