Ireland, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1950      66.74   64.50   65.57
1951      66.11   63.51   64.75
1952      68.69   65.77   67.16
1953      69.22   66.69   67.91
1954      69.70   66.46   68.00
1955      69.65   66.48   68.00
1956      70.72   67.34   68.96
1957      70.64   67.49   69.00
1958      71.13   67.57   69.27
1959      71.42   67.60   69.42
1960      71.99   68.48   70.17
1961      71.60   67.85   69.64
1962      72.11   67.97   69.95
1963      72.26   68.29   70.19
1964      72.59   68.49   70.44
1965      72.94   68.55   70.64
1966      72.44   68.10   70.15
1967      73.52   69.08   71.20
1968      73.27   68.72   70.88
1969      73.08   68.72   70.80
1970      73.33   68.58   70.83
1971      74.18   69.29   71.62
1972      73.57   68.59   70.96
1973      73.88   68.72   71.17
1974      73.84   68.64   71.11
1975      74.46   69.17   71.69
1976      74.47   69.36   71.80
1977      74.63   69.49   71.94
1978      74.77   69.35   71.93
1979      75.29   69.39   72.18
1980      75.38   69.93   72.53
1981      75.88   70.16   72.88
1982      76.09   70.47   73.16
1983      76.21   70.40   73.18
1984      76.56   70.92   73.63
1985      76.62   70.75   73.56
1986      76.62   70.84   73.61
1987      77.35   71.65   74.40
1988      77.32   71.71   74.43
1989      77.30   71.77   74.46
1990      77.72   72.13   74.85
1991      77.90   72.29   75.03
1992      78.29   72.68   75.42
1993      78.17   72.56   75.29
1994      78.66   73.06   75.80
1995      78.32   72.76   75.48
1996      78.72   73.07   75.84
1997      78.69   73.37   75.99
1998      79.11   73.42   76.21
1999      78.88   73.46   76.13
2000      79.23   73.98   76.58
2001      79.81   74.53   77.15
2002      80.32   75.00   77.65
2003      80.61   75.69   78.16
2004      81.05   76.07   78.57
2005      81.50   77.14   79.35
2006      81.60   76.84   79.23
2007      81.88   77.24   79.57
2008      82.07   77.41   79.75
2009      82.23   77.24   79.74
