Estonia, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1959      71.93   64.36   68.62
1960      73.02   64.68   69.33
1961      73.29   65.09   69.65
1962      73.16   65.58   69.83
1963      73.55   65.31   69.89
1964      74.04   66.30   70.65
1965      74.24   66.29   70.71
1966      74.29   66.22   70.67
1967      74.72   66.35   70.99
1968      74.46   65.91   70.61
1969      74.43   65.37   70.27
1970      74.55   65.50   70.39
1971      74.79   65.69   70.60
1972      74.64   65.43   70.38
1973      74.66   66.01   70.70
1974      75.06   65.85   70.81
1975      74.75   64.91   70.12
1976      74.40   64.52   69.74
1977      74.49   64.65   69.83
1978      74.54   64.31   69.66
1979      74.21   64.15   69.40
1980      74.28   64.21   69.47
1981      74.13   64.10   69.32
1982      74.72   64.58   69.86
1983      74.83   64.35   69.78
1984      74.28   64.60   69.64
1985      74.48   64.66   69.77
1986      75.10   66.17   70.91
1987      75.05   66.29   70.92
1988      75.01   66.44   70.97
1989      74.90   65.70   70.50
1990      74.89   64.67   69.89
1991      74.96   64.41   69.76
1992      74.75   63.42   69.12
1993      74.03   62.33   68.13
1994      72.95   60.64   66.64
1995      74.29   61.37   67.68
1996      75.52   64.16   69.87
1997      75.85   64.22   70.06
1998      75.35   63.92   69.63
1999      75.99   64.76   70.43
2000      76.18   65.19   70.76
2001      76.40   64.76   70.60
2002      77.11   65.19   71.16
2003      77.21   66.12   71.75
2004      77.90   66.42   72.22
2005      78.26   67.30   72.90
2006      78.57   67.39   73.09
2007      78.76   67.23   73.08
2008      79.39   68.66   74.19
2009      80.02   69.75   75.10
2010      80.50   70.60   75.80
2011      80.99   71.09   76.30
