Taiwan, Life expectancy at birth (period, 1x1)     Last modified: 28-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1970      71.42   66.32   68.65
1971      71.78   66.76   69.06
1972      72.07   67.08   69.35
1973      72.22   67.07   69.40
1974      72.58   67.41   69.77
1975      72.88   67.63   70.02
1976      73.21   68.05   70.38
1977      73.40   68.19   70.55
1978      73.94   68.79   71.12
1979      74.13   68.90   71.25
1980      74.23   69.25   71.50
1981      74.28   69.41   71.60
1982      74.78   69.93   72.11
1983      74.79   69.90   72.09
1984      75.48   70.52   72.75
1985      75.60   70.77   72.94
1986      75.76   70.86   73.07
1987      76.14   71.08   73.36
1988      75.98   70.88   73.18
1989      76.36   71.13   73.49
1990      76.64   71.40   73.76
1991      77.11   71.86   74.24
1992      77.10   71.81   74.21
1993      77.49   72.03   74.51
1994      77.82   72.03   74.66
1995      77.63   71.85   74.47
1996      77.81   72.01   74.65
1997      78.33   72.52   75.18
1998      78.57   72.65   75.36
1999      78.58   72.81   75.46
2000      79.21   73.31   76.02
2001      79.59   73.66   76.39
2002      79.93   74.25   76.88
2003      80.08   74.49   77.09
2004      80.40   74.41   77.19
2005      80.56   74.29   77.21
2006      81.35   74.94   77.93
2007      81.37   75.24   78.12
2008      81.62   75.42   78.34
2009      82.00   75.93   78.81
2010      82.37   76.24   79.15
