"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	5653	274815	2057.0
	"1979"	"1979"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	455	45961	990.0
	"1979"	"1979"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	13577	1382355	982.2
	"1979"	"1979"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	6933	282869	2451.0
	"1979"	"1979"	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	545	47886	1138.1
	"1979"	"1979"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	18502	1460512	1266.8
	"1979"	"1979"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	860	936000	91.9
	"1979"	"1979"	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	97	160000	60.6
	"1979"	"1979"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	2560	5078000	50.4
	"1979"	"1979"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	1028	951000	108.1
	"1979"	"1979"	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	128	165000	77.6
	"1979"	"1979"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	3435	5347000	64.2
	"1979"	"1979"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	437	1256000	34.8
	"1979"	"1979"	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	47	206000	22.8
	"1979"	"1979"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	1615	6824000	23.7
	"1979"	"1979"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	661	1273000	51.9
	"1979"	"1979"	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	68	212000	32.1
	"1979"	"1979"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	2450	7176000	34.1
	"1979"	"1979"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	366	1347000	27.2
	"1979"	"1979"	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	33	202000	16.3
	"1979"	"1979"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	1706	7482000	22.8
	"1979"	"1979"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	637	1362000	46.8
	"1979"	"1979"	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	73	211000	34.6
	"1979"	"1979"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	3053	7841000	38.9
	"1979"	"1979"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	777	1502000	51.7
	"1979"	"1979"	"15-19 years"	"15-19"	"Female"	"F"	"Other Race"	"2131-1"	113	215000	52.6
	"1979"	"1979"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	4648	8781000	52.9
	"1979"	"1979"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	1984	1495000	132.7
	"1979"	"1979"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	298	228000	130.7
	"1979"	"1979"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	13265	9127000	145.3
	"1979"	"1979"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	1311	1408000	93.1
	"1979"	"1979"	"20-24 years"	"20-24"	"Female"	"F"	"Other Race"	"2131-1"	158	224000	70.5
	"1979"	"1979"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	5111	8909000	57.4
	"1979"	"1979"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	3519	1287000	273.4
	"1979"	"1979"	"20-24 years"	"20-24"	"Male"	"M"	"Other Race"	"2131-1"	459	224000	204.9
	"1979"	"1979"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	17076	9044000	188.8
	"1979"	"1979"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	3179	2177000	146.0
	"1979"	"1979"	"25-34 years"	"25-34"	"Female"	"F"	"Other Race"	"2131-1"	362	464000	78.0
	"1979"	"1979"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	10054	15535000	64.7
	"1979"	"1979"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	7627	1886000	404.4
	"1979"	"1979"	"25-34 years"	"25-34"	"Male"	"M"	"Other Race"	"2131-1"	753	403000	186.8
	"1979"	"1979"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	25966	15573000	166.7
	"1979"	"1979"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	4683	1458000	321.2
	"1979"	"1979"	"35-44 years"	"35-44"	"Female"	"F"	"Other Race"	"2131-1"	425	301000	141.2
	"1979"	"1979"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	15558	11042000	140.9
	"1979"	"1979"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	8480	1212000	699.7
	"1979"	"1979"	"35-44 years"	"35-44"	"Male"	"M"	"Other Race"	"2131-1"	679	266000	255.3
	"1979"	"1979"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	27898	10835000	257.5
	"1979"	"1979"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	9498	1251000	759.2
	"1979"	"1979"	"45-54 years"	"45-54"	"Female"	"F"	"Other Race"	"2131-1"	656	228000	287.7
	"1979"	"1979"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	38908	10389000	374.5
	"1979"	"1979"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	15148	1024000	1479.3
	"1979"	"1979"	"45-54 years"	"45-54"	"Male"	"M"	"Other Race"	"2131-1"	969	190000	510.0
	"1979"	"1979"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	70086	9853000	711.3
	"1979"	"1979"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	15688	1044000	1502.7
	"1979"	"1979"	"55-64 years"	"55-64"	"Female"	"F"	"Other Race"	"2131-1"	847	147000	576.2
	"1979"	"1979"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	88143	10216000	862.8
	"1979"	"1979"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	23614	845000	2794.6
	"1979"	"1979"	"55-64 years"	"55-64"	"Male"	"M"	"Other Race"	"2131-1"	1512	135000	1120.0
	"1979"	"1979"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	157162	9061000	1734.5
	"1979"	"1979"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	22326	766000	2914.6
	"1979"	"1979"	"65-74 years"	"65-74"	"Female"	"F"	"Other Race"	"2131-1"	1105	83000	1331.3
	"1979"	"1979"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	156653	7841000	1997.9
	"1979"	"1979"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	27731	564000	4916.8
	"1979"	"1979"	"65-74 years"	"65-74"	"Male"	"M"	"Other Race"	"2131-1"	2067	87000	2375.9
	"1979"	"1979"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	239373	5997000	3991.5
	"1979"	"1979"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	20140	360000	5594.4
	"1979"	"1979"	"75-84 years"	"75-84"	"Female"	"F"	"Other Race"	"2131-1"	1262	36000	3505.6
	"1979"	"1979"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	229958	4373000	5258.6
	"1979"	"1979"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	19434	238000	8165.5
	"1979"	"1979"	"75-84 years"	"75-84"	"Male"	"M"	"Other Race"	"2131-1"	1935	29000	6672.4
	"1979"	"1979"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	220947	2562000	8624.0
	"1979"	"1979"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	11422	104000	10982.7
	"1979"	"1979"	"85+ years"	"85+"	"Female"	"F"	"Other Race"	"2131-1"	924	10000	9240.0
	"1979"	"1979"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	197373	1407000	14027.9
	"1979"	"1979"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	7522	52000	14465.4
	"1979"	"1979"	"85+ years"	"85+"	"Male"	"M"	"Other Race"	"2131-1"	893	7000	12757.1
	"1979"	"1979"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	110591	617000	17924.0
	"1979"	"1979"	"Not Stated"	"NS"	"Female"	"F"	"Black or African American"	"2054-5"	45	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Female"	"F"	"Other Race"	"2131-1"	5	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	144	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Male"	"M"	"Black or African American"	"2054-5"	115	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Male"	"M"	"Other Race"	"2131-1"	10	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	333	Not Applicable	Not Applicable
	"1980"	"1980"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	5645	280084	2015.5
	"1980"	"1980"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	487	52564	926.5
	"1980"	"1980"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	13590	1426994	952.4
	"1980"	"1980"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	6958	287996	2416.0
	"1980"	"1980"	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	556	55263	1006.1
	"1980"	"1980"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	18290	1509357	1211.8
	"1980"	"1980"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	802	950534	84.4
	"1980"	"1980"	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	98	181334	54.0
	"1980"	"1980"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	2526	5127023	49.3
	"1980"	"1980"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	1069	967347	110.5
	"1980"	"1980"	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	119	185942	64.0
	"1980"	"1980"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	3573	5402382	66.1
	"1980"	"1980"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	417	1242096	33.6
	"1980"	"1980"	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	56	230563	24.3
	"1980"	"1980"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	1613	6688217	24.1
	"1980"	"1980"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	627	1262180	49.7
	"1980"	"1980"	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	77	237934	32.4
	"1980"	"1980"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	2285	7038966	32.5
	"1980"	"1980"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	370	1335911	27.7
	"1980"	"1980"	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	61	220807	27.6
