Italy, Life expectancy at birth (cohort, 1x1)     Last modified: 24-Oct-2012, MPv5 (May07)

Year     Female    Male   Total
1872      36.73   35.57   36.14
1873      37.12   35.97   36.54
1874      37.25   35.66   36.44
1875      38.30   36.90   37.59
1876      38.98   37.63   38.30
1877      39.14   37.63   38.37
1878      39.45   37.98   38.71
1879      38.95   37.40   38.17
1880      38.17   36.23   37.21
1881      36.79   34.58   35.68
1882      39.89   37.44   38.67
1883      40.79   38.22   39.52
1884      41.71   38.90   40.33
1885      41.90   38.58   40.28
1886      42.10   38.49   40.33
1887      42.63   38.75   40.72
1888      43.58   39.08   41.37
1889      43.74   38.69   41.24
1890      44.24   38.58   41.43
1891      44.60   38.36   41.49
1892      45.37   38.17   41.75
1893      45.98   38.15   42.02
1894      46.42   37.92   42.09
1895      47.01   38.17   42.51
1896      47.95   39.47   43.63
1897      48.36   40.91   44.57
1898      48.74   42.58   45.64
1899      48.84   43.87   46.36
1900      49.56   45.06   47.32
1901      49.99   45.81   47.91
1902      50.35   46.12   48.24
1903      51.67   47.27   49.48
1904      51.77   47.28   49.53
1905      51.86   47.36   49.61
1906      52.65   47.86   50.24
1907      53.06   48.09   50.56
1908      52.99   47.87   50.41
1909      54.60   49.45   52.02
1910      54.52   49.32   51.91
1911      55.86   50.06   52.97
1912      56.91   50.89   53.89
1913      56.84   50.74   53.79
1914      56.01   49.76   52.88
1915      55.26   49.12   52.18
1916      55.76   49.21   52.46
1917      55.84   48.62   52.19
1918      55.62   47.46   51.48
