Sweden, Life expectancy at birth (cohort, 1x5)     Last modified: 23-Aug-2012, MPv5 (May07)

  Year        Female   Male    Total
1751-1754      36.28   34.82   34.82
1755-1759      36.74   35.23   35.23
1760-1764      35.96   34.33   34.33
1765-1769      35.54   33.93   33.93
1770-1774      36.18   34.65   34.65
1775-1779      37.34   35.55   35.55
1780-1784      38.09   36.35   36.35
1785-1789      39.08   37.23   37.23
1790-1794      40.08   38.00   38.00
1795-1799      39.59   37.58   37.58
1800-1804      40.86   38.59   38.59
1805-1809      39.96   37.83   37.83
1810-1814      42.76   40.63   40.63
1815-1819      44.73   42.67   42.67
1820-1824      47.33   45.36   45.36
1825-1829      46.35   44.42   44.42
1830-1834      47.86   45.83   45.83
1835-1839      48.14   46.14   46.14
1840-1844      48.87   46.92   46.92
1845-1849      48.25   46.44   46.44
1850-1854      47.75   46.07   46.07
1855-1859      48.82   47.25   47.25
1860-1864      49.60   48.15   48.15
1865-1869      49.85   48.56   48.56
1870-1874      50.42   49.27   49.27
1875-1879      51.40   50.13   50.13
1880-1884      53.72   52.31   52.31
1885-1889      55.78   54.27   54.27
1890-1894      58.02   56.05   56.05
1895-1899      59.97   57.75   57.75
1900-1904      63.23   60.74   60.74
1905-1909      66.38   63.67   63.67
1910-1914      68.52   65.57   65.57
1915-1919      70.87   67.63   67.63
