England and Wales, Civilian National Population, Life expectancy at birth (cohort, 1x5)     Last modified: 26-Apr-2013, MPv5 (May07)

  Year        Female   Male    Total
1841-1844      43.00   41.35   41.35
1845-1849      43.20   41.45   41.45
1850-1854      44.41   42.66   42.66
1855-1859      45.28   43.44   43.44
1860-1864      46.91   44.96   44.96
1865-1869      47.86   45.80   45.80
1870-1874      50.16   47.93   47.93
1875-1879      51.62   49.03   49.03
1880-1884      53.84   51.03   51.03
1885-1889      54.35   51.25   51.25
1890-1894      55.24   52.02   52.02
1895-1899      55.88   52.53   52.53
1900-1904      58.74   55.36   55.36
1905-1909      61.58   58.19   58.19
1910-1914      63.20   59.82   59.82
1915-1919      66.14   62.74   62.74
