France, Civilian Population, Life expectancy at birth (period, 1x10)     Last modified: 08-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1816-1819      39.54   38.00   38.75
1820-1829      39.58   38.26   38.90
1830-1839      39.66   38.26   38.94
1840-1849      41.19   39.70   40.43
1850-1859      40.43   38.83   39.61
1860-1869      42.27   40.86   41.55
1870-1879      42.33   39.56   40.90
1880-1889      44.81   42.29   43.51
1890-1899      46.72   43.61   45.12
1900-1909      49.83   46.16   47.95
1910-1919      51.53   45.89   48.88
1920-1929      56.41   52.13   54.26
1930-1939      60.89   55.35   58.11
1940-1949      63.23   56.58   59.94
1950-1959      71.16   64.97   68.12
1960-1969      74.59   67.40   71.01
1970-1979      76.89   69.03   72.93
1980-1989      79.45   71.25   75.32
1990-1999      81.81   73.77   77.79
2000-2009      83.69   76.57   80.19
2010-2012      84.86   78.35   81.68
