Canada, Life expectancy at birth (period, 1x5)     Last modified: 24-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1921-1924      58.55   56.35   57.42
1925-1929      59.71   57.23   58.44
1930-1934      62.37   59.89   61.08
1935-1939      64.12   61.35   62.66
1940-1944      66.30   62.83   64.45
1945-1949      68.97   65.08   66.89
1950-1954      71.48   66.64   68.89
1955-1959      73.21   67.65   70.22
1960-1964      74.53   68.42   71.27
1965-1969      75.60   68.94   72.07
1970-1974      76.64   69.56   72.92
1975-1979      77.96   70.65   74.17
1980-1984      79.28   72.32   75.74
1985-1989      80.05   73.44   76.73
1990-1994      80.80   74.57   77.70
1995-1999      81.26   75.63   78.49
2000-2004      82.10   77.14   79.68
2005-2009      82.98   78.42   80.76
