Northern Ireland, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1922-1924      55.19   54.34   54.75
1925-1929      56.15   55.29   55.69
1930-1934      58.73   57.20   57.96
1935-1939      59.39   57.70   58.55
1940-1944      61.27   58.66   59.96
1945-1949      66.18   63.49   64.85
1950-1954      69.64   65.95   67.81
1955-1959      71.79   67.64   69.74
1960-1964      72.71   67.75   70.24
1965-1969      73.57   68.19   70.89
1970-1974      73.82   67.31   70.53
1975-1979      74.62   68.02   71.30
1980-1984      75.93   69.57   72.77
1985-1989      77.16   71.05   74.15
1990-1994      78.32   72.62   75.55
1995-1999      79.19   73.91   76.64
2000-2004      80.36   75.45   78.00
2005-2009      81.23   76.41   78.89
2010-2011      82.05   77.47   79.82
