Belgium, Life expectancy at birth (period, 1x5)     Last modified: 30-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1841-1844      40.19   40.38   40.30
1845-1849      37.36   37.03   37.21
1850-1854      41.37   41.39   41.39
1855-1859      39.90   39.17   39.53
1860-1864      42.54   41.48   42.00
1865-1869      40.20   38.55   39.35
1870-1874      41.52   39.57   40.52
1875-1879      44.96   42.45   43.66
1880-1884      45.80   42.86   44.28
1885-1889      46.61   43.36   44.93
1890-1894      46.25   42.72   44.43
1895-1899      49.12   45.67   47.34
1900-1904      50.41   47.04   48.68
1905-1909      51.86   48.55   50.17
1910-1914      53.09   49.53   51.27
1915-1919      51.56   48.09   49.79
1920-1924      57.32   53.73   55.50
1925-1929      58.54   54.88   56.68
1930-1934      60.60   56.62   58.57
1935-1939      62.24   57.85   60.00
1940-1944      61.65   55.06   58.20
1945-1949      65.63   60.16   62.82
1950-1954      70.13   65.12   67.59
1955-1959      72.09   66.71   69.36
1960-1964      73.23   67.28   70.21
1965-1969      73.83   67.62   70.68
1970-1974      74.67   68.21   71.40
1975-1979      75.85   69.28   72.54
1980-1984      77.15   70.46   73.80
1985-1989      78.45   71.77   75.13
1990-1994      79.64   72.97   76.34
1995-1999      80.53   74.03   77.32
2000-2004      81.26   75.18   78.26
2005-2009      82.19   76.67   79.48
2010-2012      82.78   77.59   80.23
