Netherlands, Life expectancy at birth (period, 1x5)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1850-1854      40.02   38.21   39.11
1855-1859      35.57   33.74   34.64
1860-1864      38.38   36.61   37.48
1865-1869      38.39   36.39   37.37
1870-1874      38.49   36.21   37.33
1875-1879      41.97   39.52   40.71
1880-1884      43.44   40.78   42.08
1885-1889      45.12   42.35   43.71
1890-1894      46.41   43.68   45.01
1895-1899      50.09   47.14   48.59
1900-1904      51.45   48.60   50.00
1905-1909      54.40   51.97   53.17
1910-1914      57.06   54.90   55.96
1915-1919      55.12   53.17   54.13
1920-1924      61.21   59.67   60.42
1925-1929      63.65   62.16   62.89
1930-1934      66.09   64.72   65.39
1935-1939      67.84   66.32   67.07
1940-1944      66.28   62.59   64.39
1945-1949      68.89   64.23   66.50
1950-1954      73.09   70.58   71.83
1955-1959      74.56   71.20   72.87
1960-1964      75.73   71.22   73.44
1965-1969      76.32   71.04   73.63
1970-1974      76.99   71.13   74.02
1975-1979      78.30   71.88   75.06
1980-1984      79.41   72.75   76.08
1985-1989      79.88   73.40   76.67
1990-1994      80.15   74.14   77.21
1995-1999      80.46   74.99   77.80
2000-2004      80.86   76.09   78.55
2005-2009      82.14   77.94   80.13
