Denmark, Life expectancy at birth (period, 1x5)     Last modified: 26-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1835-1839      42.36   39.55   40.93
1840-1844      44.03   41.61   42.81
1845-1849      42.31   39.44   40.86
1850-1854      44.19   41.25   42.69
1855-1859      44.86   42.79   43.81
1860-1864      46.56   44.39   45.46
1865-1869      44.63   43.00   43.80
1870-1874      47.51   45.69   46.58
1875-1879      47.23   45.33   46.27
1880-1884      48.30   46.40   47.33
1885-1889      49.37   47.27   48.31
1890-1894      48.76   46.34   47.54
1895-1899      53.39   50.31   51.83
1900-1904      55.58   52.23   53.90
1905-1909      57.28   54.37   55.82
1910-1914      59.58   56.54   58.06
1915-1919      58.38   55.86   57.12
1920-1924      61.30   59.65   60.46
1925-1929      62.53   60.91   61.70
1930-1934      63.83   61.98   62.89
1935-1939      65.32   63.15   64.22
1940-1944      67.66   65.64   66.64
1945-1949      69.53   67.22   68.37
1950-1954      72.22   69.59   70.90
1955-1959      73.71   70.40   72.04
1960-1964      74.42   70.40   72.39
1965-1969      75.21   70.52   72.83
1970-1974      76.33   70.87   73.55
1975-1979      77.23   71.32   74.23
1980-1984      77.47   71.42   74.41
1985-1989      77.64   71.81   74.71
1990-1994      77.91   72.49   75.20
1995-1999      78.46   73.49   75.99
2000-2004      79.51   74.87   77.21
2005-2009      80.69   76.26   78.49
2010-2011      81.58   77.40   79.51
