Switzerland, Life expectancy at birth (period, 1x5)     Last modified: 27-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1876-1879      42.11   39.06   40.56
1880-1884      44.74   42.14   43.42
1885-1889      46.24   43.79   45.00
1890-1894      47.08   44.42   45.74
1895-1899      50.03   46.92   48.46
1900-1904      50.57   47.86   49.21
1905-1909      52.59   49.58   51.08
1910-1914      55.34   51.97   53.65
1915-1919      55.43   51.89   53.66
1920-1924      59.47   56.48   57.98
1925-1929      61.87   58.56   60.23
1930-1934      63.73   59.85   61.80
1935-1939      65.25   61.30   63.30
1940-1944      67.11   62.75   64.96
1945-1949      68.59   64.51   66.58
1950-1954      71.62   66.97   69.34
1955-1959      73.24   68.10   70.71
1960-1964      74.42   68.68   71.58
1965-1969      75.44   69.64   72.58
1970-1974      76.77   70.59   73.71
1975-1979      78.45   71.85   75.19
1980-1984      79.40   72.69   76.09
1985-1989      80.56   73.80   77.23
1990-1994      81.25   74.50   77.93
1995-1999      82.13   76.11   79.21
2000-2004      82.99   77.67   80.43
2005-2009      83.98   79.22   81.70
2010-2011      84.53   80.16   82.44
