United Kingdom, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1922-1924      60.01   56.23   58.13
1925-1929      60.84   56.90   58.88
1930-1934      62.60   58.63   60.63
1935-1939      64.56   60.33   62.46
1940-1944      65.70   59.84   62.98
1945-1949      69.33   64.58   67.01
1950-1954      71.76   66.65   69.26
1955-1959      73.26   67.66   70.52
1960-1964      73.92   67.96   70.99
1965-1969      74.73   68.51   71.67
1970-1974      75.22   68.96   72.13
1975-1979      75.95   69.80   72.92
1980-1984      77.03   71.06   74.10
1985-1989      77.82   72.10   75.02
1990-1994      78.82   73.36   76.16
1995-1999      79.53   74.46   77.06
2000-2004      80.55   75.93   78.30
2005-2009      81.65   77.41   79.58
2010-2011      82.54   78.57   80.61
