The United States of America, Life expectancy at birth (period, 1x5)     Last modified: 24-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1933-1934      62.57   58.75   60.56
1935-1939      63.76   59.57   61.55
1940-1944      66.76   61.93   64.22
1945-1949      69.51   64.18   66.72
1950-1954      71.68   65.76   68.58
1955-1959      72.97   66.58   69.64
1960-1964      73.58   66.80   70.06
1965-1969      74.14   66.75   70.33
1970-1974      75.18   67.52   71.27
1975-1979      77.03   69.37   73.18
1980-1984      77.93   70.66   74.32
1985-1989      78.34   71.30   74.86
1990-1994      79.01   72.17   75.63
1995-1999      79.31   73.41   76.42
2000-2004      79.70   74.48   77.14
2005-2009      80.59   75.56   78.12
