Norway, Life expectancy at birth (period, 1x5)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1846-1849      48.03   44.86   46.43
1850-1854      51.07   47.82   49.45
1855-1859      52.02   48.96   50.50
1860-1864      48.41   45.95   47.18
1865-1869      50.57   47.28   48.92
1870-1874      51.17   48.00   49.58
1875-1879      51.22   48.36   49.78
1880-1884      51.24   48.72   49.99
1885-1889      52.00   49.49   50.76
1890-1894      51.70   48.26   50.01
1895-1899      55.01   51.28   53.16
1900-1904      56.67   53.52   55.11
1905-1909      57.71   55.12   56.44
1910-1914      59.56   56.31   57.97
1915-1919      57.54   54.21   55.89
1920-1924      62.23   59.75   61.02
1925-1929      64.28   61.45   62.89
1930-1934      66.31   63.45   64.90
1935-1939      68.07   64.77   66.43
1940-1944      68.65   63.17   65.86
1945-1949      71.87   68.28   70.07
1950-1954      74.40   70.84   72.62
1955-1959      75.54   71.41   73.46
1960-1964      75.90   71.09   73.45
1965-1969      76.72   71.15   73.88
1970-1974      77.55   71.29   74.34
1975-1979      78.42   72.07   75.17
1980-1984      79.33   72.61   75.90
1985-1989      79.38   72.67   75.97
1990-1994      80.13   74.05   77.07
1995-1999      81.04   75.35   78.21
2000-2004      81.71   76.61   79.20
2005-2009      82.78   78.22   80.55
