"year","female","male","total","country_code"
1921,63.24,59.12,61,"aus"
1922,65.16,60.88,62.85,"aus"
1923,63.67,59.98,61.68,"aus"
1924,64.52,60.74,62.47,"aus"
1925,65.38,61.27,63.16,"aus"
1926,65.07,60.98,62.86,"aus"
1927,64.85,61.09,62.83,"aus"
1928,64.71,61.32,62.9,"aus"
1929,65.38,61.09,63.07,"aus"
1930,66.88,63.14,64.89,"aus"
1931,67.31,63.54,65.3,"aus"
1932,67.59,63.83,65.59,"aus"
1933,67.46,63.67,65.44,"aus"
1934,66.7,63.11,64.81,"aus"
1935,67.2,63.2,65.09,"aus"
1936,67.22,63.42,65.22,"aus"
1937,67.99,63.81,65.78,"aus"
1938,67.98,63.86,65.81,"aus"
1939,68.11,63.68,65.78,"aus"
1940,68.7,64.01,66.23,"aus"
1941,68.29,64.12,66.11,"aus"
1942,67.95,63.94,65.85,"aus"
1943,68.3,64.62,66.38,"aus"
1944,69.86,66.3,68.02,"aus"
1945,70.35,66.67,68.45,"aus"
1946,70.22,65.91,67.97,"aus"
1947,71.03,66.33,68.58,"aus"
1948,71.05,66.16,68.5,"aus"
1949,71.82,66.67,69.13,"aus"
1950,71.75,66.53,69.02,"aus"
1951,71.61,66.09,68.72,"aus"
1952,72.06,66.45,69.12,"aus"
1953,72.57,67.06,69.7,"aus"
1954,72.79,67.17,69.86,"aus"
1955,73.25,67.34,70.16,"aus"
1956,73.05,67.29,70.04,"aus"
1957,73.46,67.45,70.32,"aus"
1958,74.04,67.96,70.87,"aus"
1959,73.74,67.43,70.44,"aus"
1960,74.05,67.94,70.87,"aus"
1961,74.51,68.05,71.13,"aus"
1962,74.28,67.81,70.9,"aus"
1963,74.29,67.89,70.95,"aus"
1964,73.98,67.51,70.59,"aus"
1965,74.34,67.8,70.92,"aus"
1966,74.15,67.67,70.77,"aus"
1967,74.56,67.83,71.04,"aus"
1968,74.19,67.47,70.67,"aus"
1969,74.7,67.77,71.08,"aus"
1970,74.29,67.49,70.74,"aus"
1971,74.77,68.16,71.35,"aus"
1972,75.42,68.56,71.87,"aus"
1973,75.66,68.72,72.06,"aus"
1974,75.46,68.45,71.82,"aus"
1975,76.42,69.35,72.77,"aus"
1976,76.42,69.43,72.81,"aus"
1977,77,70,73.4,"aus"
1978,77.41,70.35,73.79,"aus"
1979,77.97,70.89,74.34,"aus"
1980,78.18,71.01,74.5,"aus"
1981,78.51,71.37,74.86,"aus"
1982,78.2,71.22,74.63,"aus"
1983,78.83,72.14,75.44,"aus"
1984,79.21,72.66,75.9,"aus"
1985,78.6,72.17,75.34,"aus"
1986,79.22,72.86,76.01,"aus"
1987,79.47,73,76.19,"aus"
1988,79.5,73.05,76.23,"aus"
1989,79.49,73.24,76.33,"aus"
1990,80.06,73.83,76.92,"aus"
1991,80.45,74.4,77.41,"aus"
1992,80.43,74.43,77.41,"aus"
1993,80.93,74.96,77.94,"aus"
1994,80.89,74.99,77.93,"aus"
1995,81.18,75.44,78.31,"aus"
1996,81.3,75.48,78.38,"aus"
1997,81.41,75.87,78.65,"aus"
1998,81.94,76.29,79.13,"aus"
1999,82.15,76.59,79.38,"aus"
2000,82.4,77.12,79.78,"aus"
2001,82.71,77.51,80.13,"aus"
2002,82.58,77.65,80.14,"aus"
2003,83.01,78.05,80.55,"aus"
2004,83.3,78.43,80.89,"aus"
2005,83.66,78.91,81.31,"aus"
2006,83.79,79.17,81.5,"aus"
2007,83.78,79.27,81.54,"aus"
2008,83.74,79.24,81.49,"aus"
2009,84.16,79.7,81.94,"aus"
1947,63.8,58.69,61.3,"aut"
1948,65.8,60.55,63.24,"aut"
1949,65.73,60.96,63.42,"aut"
1950,67.33,62.23,64.85,"aut"
1951,67.83,62.49,65.23,"aut"
1952,69.24,64.11,66.76,"aut"
1953,69.71,64.62,67.25,"aut"
1954,69.89,64.5,67.29,"aut"
1955,70.37,64.57,67.56,"aut"
1956,70.55,64.64,67.68,"aut"
1957,70.51,64.21,67.44,"aut"
1958,71.37,65.34,68.46,"aut"
1959,71.39,65.18,68.39,"aut"
1960,71.9,65.39,68.75,"aut"
1961,72.78,66.42,69.72,"aut"
1962,72.48,66.28,69.5,"aut"
1963,72.64,66.39,69.64,"aut"
1964,73.21,66.79,70.13,"aut"
1965,72.99,66.6,69.93,"aut"
1966,73.35,66.86,70.24,"aut"
1967,73.37,66.62,70.12,"aut"
1968,73.52,66.76,70.27,"aut"
1969,73.27,66.56,70.04,"aut"
1970,73.43,66.51,70.09,"aut"
1971,73.67,66.67,70.3,"aut"
1972,74.03,66.95,70.62,"aut"
1973,74.57,67.54,71.2,"aut"
1974,74.63,67.45,71.18,"aut"
1975,74.69,67.65,71.32,"aut"
1976,75.07,68.2,71.8,"aut"
1977,75.45,68.51,72.15,"aut"
1978,75.66,68.45,72.21,"aut"
1979,75.97,68.78,72.55,"aut"
1980,76.05,68.97,72.69,"aut"
1981,76.38,69.26,72.99,"aut"
1982,76.58,69.38,73.15,"aut"
1983,76.59,69.5,73.22,"aut"
1984,77.19,70.01,73.77,"aut"
1985,77.3,70.32,73.99,"aut"
1986,77.65,70.9,74.46,"aut"
1987,78.04,71.4,74.91,"aut"
1988,78.52,71.85,75.38,"aut"
1989,78.67,71.9,75.47,"aut"
1990,78.87,72.23,75.74,"aut"
1991,78.98,72.27,75.8,"aut"
1992,79.15,72.51,76,"aut"
1993,79.35,72.76,76.23,"aut"
1994,79.64,73.12,76.55,"aut"
1995,79.96,73.3,76.78,"aut"
1996,80.09,73.67,77.04,"aut"
1997,80.54,74.02,77.43,"aut"
1998,80.83,74.45,77.79,"aut"
1999,80.84,74.79,77.97,"aut"
2000,81.1,75.1,78.24,"aut"
2001,81.57,75.6,78.73,"aut"
2002,81.67,75.79,78.87,"aut"
2003,81.55,75.93,78.86,"aut"
2004,82.11,76.41,79.38,"aut"
2005,82.22,76.64,79.54,"aut"
2006,82.65,77.11,79.99,"aut"
2007,82.85,77.33,80.19,"aut"
2008,82.97,77.62,80.39,"aut"
2009,82.87,77.43,80.23,"aut"
2010,83.15,77.7,80.5,"aut"
1841,15,18,16,"bel"
1842,10,11,10,"bel"
1843,14,19,17,"bel"
1844,23,33,26,"bel"
1845,18,25,21,"bel"
1846,8,8,8,"bel"
1847,5,4,5,"bel"
1848,7,9,9,"bel"
1849,3,5,4,"bel"
1850,26,38,28,"bel"
1851,23,32,26,"bel"
1852,22,30,25,"bel"
1853,21,26,24,"bel"
1854,12,14,12,"bel"
1855,6,6,6,"bel"
1856,20,20,19,"bel"
1857,16,17,18,"bel"
1858,17,15,15,"bel"
1859,11,10,11,"bel"
1860,39,55,50,"bel"
1861,24,22,22,"bel"
1862,30,41,33,"bel"
1863,25,21,23,"bel"
1864,13,13,13,"bel"
1865,9,7,7,"bel"
1866,2,2,2,"bel"
1867,32,34,32,"bel"
1868,29,28,30,"bel"
1869,27,31,31,"bel"
